"name","address","city","zip","state","country","phone","email","website","openingHours","lat","lng","accuracy","error"
"CHEERS WINE & SPIRITS","772 Farmington Ave","WEST HARTFORD","6119","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06119","","41.765288","'-72.725738","User provided",""
"JAY`S INTERSTATE","11 Marion Ave","PLANTSVILLE","6479","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06479","","41.5879649","'-72.898666","User provided",""
"McFAIRLAWNS SPORTS TAVERN","216 FROST RD","WATERBURY","6705","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06705","","41.5482056","'-73.0026186","User provided",""
"Big M Liquors LLC","71 Pratt St","MERIDEN","6450","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06450","","41.5384751","'-72.7984891","User provided",""
"MIDDLEFIELD GROCERY INC.","482 Main St","MIDDLEFIELD","6455","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06455","","41.5134037","'-72.7121227","User provided",""
"STOP & SHOP #613","10 PITKIN RD","VERNON","6066","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06066","","41.8295291","'-72.4941874","User provided",""
"Snaxx Plus","5 John Fitch Blvd","SOUTH WINDSOR","6074","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06074","","41.7992715","'-72.6186873","User provided",""
"FARMINGTON SUN INC","669 FARMINGTON AVE","WEST HARTFORD","6119","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06119","","41.765282","'-72.716449","User provided",""
"Cumberland Farms #4764","343 Hartford Turnpike","VERNON","6066","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06066","","41.827246","'-72.4890768","User provided",""
"Discount Tobacco Bristol LLC","123 Farmington Ave","BRISTOL","6010","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06010","","41.6848227","'-72.9390129","User provided",""
"Krieyeh 2 LLC","179 Watertown Road","THOMASTON","6787","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06787","","41.657628","'-73.086177","User provided",""
"FAS MART #316","856 Sullivan Avenue","SOUTH WINDSOR","6074","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06074","","41.8478564","'-72.5672107","User provided",""
"Roma Cigars and Tobacco","603 Campbell Ave","WEST HAVEN","6516","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06516","","41.274615","'-72.9516004","User provided",""
"STOP & SHOP #625","200 NEW HARTFORD RD","WINSTED","6098","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06098","","41.9089858","'-73.0498597","User provided",""
"Discount Tobacco","1949 Silas Deane Hwy","ROCKY HILL","6067","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06067","","41.673779","'-72.647469","User provided",""
"CUMBERLAND FARMS #4689","273 MITCHEL ST","GROTON","6340","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06340","","41.349602","'-72.0765009","User provided",""
"Royal Cigar & Tobacco","33 Cross Rd Plaza","WEST HARTFORD","6110","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06110","","41.739776","'-72.7418859","User provided",""
"Mobil","240 Middle Turnpike W","MANCHESTER","6040","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06040","","41.7814357","'-72.5346086","User provided",""
"7-ELEVEN STORE #32520A","2711 BOSTON TPKE","COVENTRY","6238","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06238","","41.7960459","'-72.410846","User provided",""
"TUNXIS PATCO HANDY STOP","1800 Farmington Ave","UNIONVILLE","6085","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06085","","41.7568367","'-72.8831047","User provided",""
"7-ELEVEN STORE #11479G","461 New Britain Ave","NEWINGTON","6111","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06111","","41.6737047","'-72.7416452","User provided",""
"Wine & Liquor","226 Main Street","EAST HAVEN","6512","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06512","","41.2905368","'-72.7980929","User provided",""
"Kelly`s on Campbell","144 Campbell Ave","WEST HAVEN","6516","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06516","","41.2619715","'-72.9463795","User provided",""
"BOB`S PACKAGE STORE","1426 E MAIN ST","MERIDEN","6450","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06450","","41.526164","'-72.754733","User provided",""
"248 Boston Post Road LLC","248 Boston Post Road","ORANGE","6477","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06477","","41.2685375","'-72.99927","User provided",""
"Roomi Food Plus","2 Schennocossett Rd","GROTON","6340","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06340","","41.3371224","'-72.0751146","User provided",""
"SMOKERS DISCOUNT WORLD","29 Ella Grasso Tpke","WINDSOR LOCKS","6096","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06096","","41.9170775","'-72.6734257","User provided",""
"BEST BUY FOOD MART INC","345 Columbus Blvd","NEW BRITAIN","6050","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06050","","41.661904","'-72.775736","User provided",""
"D & B Market","787 Beechwood Avenue","BRIDGEPORT","6605","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06605","","41.1752308","'-73.216876","User provided",""
"SHERMAN IGA INC","15 Rte 39 N","SHERMAN","6784","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06784","","41.5749349","'-73.4992142","User provided",""
"Amity Mobil","1474 Whalley Ave","NEW HAVEN","6515","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06515","","41.3352549","'-72.977039","User provided",""
"Alltown Cromwell","176 West Street","CROMWELL","6416","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06416","","41.6036243","'-72.6760978","User provided",""
"RITE AID #10343","1350 Stanley St","NEW BRITAIN","6053","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06053","","41.683903","'-72.768049","User provided",""
"Burnside Supermarket","1150 Burnside Ave","EAST HARTFORD","6108","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06108","","41.7837389","'-72.5883789","User provided",""
"NEWTOWN ROAD ITALIAN DELI","60 Newtown Rd","DANBURY","6810","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06810","","41.4054103","'-73.4204822","User provided",""
"Jays Wine & Liquor","427 N Main St","BRISTOL","6010","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06010","","41.6799936","'-72.9472729","User provided",""
"GLORIA`S APPLEHOUSE QUICK MART","1758 E MAIN ST","TORRINGTON","6790","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06790","","41.820683","'-73.081553","User provided",""
"FIVE CORNERS WINE & SPIRIT","192 Windsorville Rd","ELLINGTON","6029","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06029","","41.867153","'-72.4886889","User provided",""
"Sammy Market","253 Davenport Ave","NEW HAVEN","6519","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06519","","41.3010899","'-72.9422186","User provided",""
"COUNTRY FOOD MARKET INC","2215 State St","HAMDEN","6517","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06517","","41.3415929","'-72.895534","User provided",""
"SUPERIOR LIQUOR","265 ELLINGTON RD","EAST HARTFORD","6108","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06108","","41.7944961","'-72.6223361","User provided",""
"NEW HAVEN HESS","1159 Whalley Ave.","NEW HAVEN","6515","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06515","","41.329529","'-72.968753","User provided",""
"VILLAGE MART","605 Success Ave","STRATFORD","6614","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06614","","41.2009227","'-73.1563928","User provided",""
"COUNTRY STORE","960 Sullivan Ave","SOUTH WINDSOR","6074","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06074","","41.8462436","'-72.5628728","User provided",""
"LOMBARD DELI GROCERY","297 LOMBARD ST","NEW HAVEN","6513","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06513","","41.3155659","'-72.895618","User provided",""
"Big Y World Class Market #5","179 Stonington Rd","MYSTIC","6355","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06355","","41.3462623","'-71.9534156","User provided",""
"SUPER CELLAR WAREHOUSE LIQUORS","332 W MAIN ST","AVON","6001","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06001","","41.815307","'-72.85961","User provided",""
"Wheels of CT #41","5 Jones Hill Rd","WEST HAVEN","6516","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06516","","41.236557","'-72.985804","User provided",""
"Blues Package Store","139 Barbour St.","HARTFORD","6120","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06120","","41.7891423","'-72.678486","User provided",""
"Maurys Pub","75 Main St","DANIELSON","6239","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06239","","41.8040402","'-71.8850519","User provided",""
"Tony`s Market","100 Bishop Ave","BRIDGEPORT","6607","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06607","","41.1835632","'-73.1565408","User provided",""
"COLONIAL WINE & SPIRIT","1079 FOXON RD","NORTH BRANFORD","6471","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06471","","41.3292261","'-72.7856325","User provided",""
"Wine Cellar","73 State St","NORTH HAVEN","6473","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06473","","41.3875458","'-72.8736463","User provided",""
"V Mart","20 Union City Rd","PROSPECT","6712","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06712","","41.5037852","'-72.9824963","User provided",""
